Number,User,Date Submitted,Country,Device,Browser,OS,"Prosím, pomôžte nám zlepšiť naše služby. Ako náročné bolo pre vás nakupovať cez Orange Eshop na škále 1-5?","Prosím, opíšte prečo. Je to pre nás veľmi dôležité."
18,00000000,2020-02-11 20:58:51,Slovakia,phone,Chrome Mobile 80.0.3987,Android 6.0,1,Nemusim vystavat v rade
19,00000000,2020-02-11 21:02:42,Slovakia,desktop,Chrome 79.0.3945,Windows 10,5,
20,00000000,2020-02-11 21:52:25,Slovakia,phone,Chrome Mobile 79.0.3945,Android,3,
21,00000000,2020-02-11 22:43:10,Slovakia,phone,Chrome Mobile 80.0.3987,Android 5.1.1,5,Je to ok 
22,00000000,2020-02-11 22:51:52,Slovakia,desktop,Firefox 72.0,Windows 8.1,1,
23,00000000,2020-02-12 06:16:07,Slovakia,tablet,Chrome 80.0.3987,Android 6.0.1,5,Nejde mi to
24,00000000,2020-02-12 08:05:50,Slovakia,desktop,Chrome 79.0.3945,Windows 10,5,
25,00000000,2020-02-12 11:58:36,Slovakia,desktop,Firefox 72.0,Windows 7,1,"Prehľadný formulár 
"
26,00000000,2020-02-12 12:00:37,Slovakia,desktop,Firefox 72.0,Windows 10,1,priamociary postup v objednavacom procese
27,00000000,2020-02-12 12:23:15,Slovakia,desktop,Edge 18.18362,Windows 10,1,je to pohodlné
28,00000000,2020-02-12 12:35:06,Slovakia,phone,Chrome Mobile 74.0.3729,Android 8.0.0,2,Zmenil som adresu trvaleho bydliska.. V objednavke sa nedala prepisat.. 
29,00000000,2020-02-12 12:59:00,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,
30,00000000,2020-02-12 13:18:22,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,"Super easy, chvalim."
31,00000000,2020-02-12 13:52:38,Slovakia,desktop,Firefox 68.0,Windows 10,1,"intuitívne navádzanie, ďakujem"
32,00000000,2020-02-12 13:55:06,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.1.0,2,Objednávku som urobila na druhýkrát.Najprv má systém akosi vyhodil.
33,00000000,2020-02-12 15:16:03,Slovakia,desktop,Chrome 79.0.3945,Windows 10,3,mohlo by to byť troška prehľadnejšie 
34,00000000,2020-02-12 16:09:09,Slovakia,tablet,Chrome 69.0.3497,Android 8.0.0,2,
35,00000000,2020-02-12 16:18:54,Slovakia,phone,Chrome Mobile 80.0.3987,Android,1,
36,00000000,2020-02-12 16:56:36,Slovakia,phone,Chrome Mobile 80.0.3987,Android,1,
37,00000000,2020-02-12 16:58:52,Slovakia,phone,Samsung Internet 10.2,Android,1,Super spravena stranka
38,00000000,2020-02-12 17:04:05,Slovakia,desktop,Chrome 79.0.3945,Windows 10,5,"dobra ponuka
katastrofalny web "
39,00000000,2020-02-12 19:06:17,Slovakia,phone,Chrome Mobile 80.0.3987,Android,1,Bolo to richle takza ok
40,00000000,2020-02-12 20:14:07,Austria,phone,Mobile Safari 13.0.4,iOS 13.3,1,Max jednoduche a prehlade
41,00000000,2020-02-12 20:32:38,Slovakia,desktop,Chrome 80.0.3987,Windows 10,2,
42,00000000,2020-02-12 20:56:01,Slovakia,phone,Chrome Mobile 79.0.3945,Android 6.0,1,
43,00000000,2020-02-12 21:01:18,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,
44,00000000,2020-02-12 22:02:18,Slovakia,desktop,Chrome 80.0.3987,Mac OS X 10.12.6,1,"Máte to veľmi fajn graficky spravené, človek sa nestratí a nebojí sa, že niečo prehliadne."
45,00000000,2020-02-12 23:40:05,Slovakia,desktop,Chrome 79.0.3945,Windows 8.1,1,nie je to narocne
46,00000000,2020-02-13 07:23:16,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,"jednoduché, prehľadné a rýchle"
47,00000000,2020-02-13 07:47:13,Germany,desktop,IE 11.0,Windows 10,2,"V kolónke na vyplnenie bydliska, ponúkal systém iba mestá po písmeno K. Keďže som z Nových Zámkov, trošku s tým bol problém."
48,00000000,2020-02-13 08:24:22,Slovakia,phone,Samsung Internet 10.2,Android,1,Lebo ma to vsetko postupne pekne ponavigovalo
49,00000000,2020-02-13 10:00:40,Slovakia,desktop,Chrome 79.0.3945,Windows 7,5,
50,00000000,2020-02-13 11:30:56,Slovakia,desktop,Chrome 43.0.2357,Windows 7,1,všetko je veľmi zrozumiteľné
51,00000000,2020-02-13 12:04:47,Slovakia,desktop,Chrome 49.0.2623,Windows XP,4,pružnosť objednávky
52,00000000,2020-02-13 12:07:10,Slovakia,phone,Facebook 256.0.0,Android 8.0.0,2,
53,00000000,2020-02-13 14:03:43,Slovakia,phone,Facebook 256.0.0,Android,1,Spokojnost
54,00000000,2020-02-13 14:24:05,Slovakia,phone,Chrome Mobile 79.0.3945,Android,1,Ste super 
55,00000000,2020-02-13 14:45:30,Slovakia,phone,Mobile Safari 12.1.2,iOS 12.4,1,
56,00000000,2020-02-13 15:07:24,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,jednoduchosť
57,00000000,2020-02-13 15:48:51,Slovakia,desktop,Chrome 80.0.3987,Windows 7,1,
58,00000000,2020-02-13 16:00:35,Slovakia,phone,Samsung Internet 11.0,Android,1,
59,00000000,2020-02-13 16:20:45,Slovakia,phone,Chrome Mobile 74.0.3729,Android,4,
60,00000000,2020-02-13 17:22:22,Slovakia,phone,Chrome Mobile 70.0.3538,Android 8.0.0,1,
61,00000000,2020-02-13 17:35:15,Slovakia,phone,Chrome Mobile 80.0.3987,Android,1,
62,00000000,2020-02-13 18:35:00,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.0.0,1,
63,00000000,2020-02-13 18:55:21,Slovakia,desktop,Firefox 72.0,Windows 10,1,
64,00000000,2020-02-13 19:04:03,Slovakia,phone,Chrome Mobile 80.0.3987,Android,1,Suprket
65,00000000,2020-02-13 19:51:12,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.0,1,Som spokojná nebolo to náročné . Ďakujem
66,00000000,2020-02-13 20:17:01,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,Filter ohľadom výberu zariadenia je dosť slabý a samozrejme dosť som váhal nad výberom paušálu.
67,00000000,2020-02-13 21:02:45,Slovakia,phone,Facebook 256.0.0,Android 6.0.1,1,"Zaberie to pár minút môjho času a sedím doma, nikam nemusím utekať. "
68,00000000,2020-02-13 21:33:43,Slovakia,phone,Samsung Internet 10.2,Android 8.1.0,5,
69,00000000,2020-02-13 21:42:32,Slovakia,phone,Mobile Safari 13.0.5,iOS 13.3.1,1,lebo to bolo napisane tak ze aj slepy by to v pohode chapal.
70,00000000,2020-02-13 22:31:01,Slovakia,phone,Chrome Mobile WebView 80.0.3987,Android 8.0.0,5,
71,00000000,2020-02-14 04:13:25,Slovakia,desktop,Chrome 80.0.3987,Windows 10,5,
72,00000000,2020-02-14 05:53:56,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.1.2,2,
73,00000000,2020-02-14 08:00:29,Slovakia,desktop,Firefox 52.0,Windows XP,1,
74,00000000,2020-02-14 08:28:08,Slovakia,desktop,Chrome 79.0.3945,Windows 10,3,
75,00000000,2020-02-14 09:01:51,Slovakia,phone,Mobile Safari 13.0.1,iOS 13.1.2,5,
76,00000000,2020-02-14 09:45:53,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,.
77,00000000,2020-02-14 10:14:21,Slovakia,desktop,Chrome 79.0.3945,Windows 10,2,
78,00000000,2020-02-14 11:26:39,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,
79,00000000,2020-02-14 11:44:52,Slovakia,phone,Chrome Mobile 74.0.3729,Android,1,Super to bolo a este ked mi prejde tak bude fantasticky dakujem.
80,00000000,2020-02-14 11:45:11,Slovakia,phone,Chrome Mobile 79.0.3945,Android 8.1.0,2,Neviem či mi chcalia
81,00000000,2020-02-14 12:14:52,Slovakia,phone,Samsung Internet 9.4,Android,2,
82,00000000,2020-02-14 13:06:50,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.0,1,Je to stručné a veľmi rýchlo to ide
83,00000000,2020-02-14 13:16:50,Slovakia,desktop,Chrome 79.0.3945,Windows 7,1,
84,00000000,2020-02-14 13:22:03,Slovakia,desktop,Chrome 79.0.3945,Windows 7,1,
85,00000000,2020-02-14 13:27:19,Slovakia,phone,Chrome Mobile 74.0.3729,Android 7.1.2,1,
86,00000000,2020-02-14 14:57:12,Slovakia,desktop,Firefox 73.0,Windows 7,1,
