Moisture,Soil_temp,EC,time
21287378.0,22.06,3697202.0,2020-10-05 15:01:35
21287378.0,22.06,3696634.0,2020-10-05 15:01:47
21284758.0,22.06,3696690.0,2020-10-05 15:01:53
21287418.0,22.06,3696648.0,2020-10-05 15:01:59
21284799.0,22.06,3696648.0,2020-10-05 15:02:05
21285226.0,22.06,3696739.0,2020-10-05 15:02:11
21284105.0,22.06,3697156.0,2020-10-05 15:02:17
21284718.0,22.06,3696981.0,2020-10-05 15:02:23
21287805.0,22.06,3697209.0,2020-10-05 15:02:29
21284331.0,22.06,3697128.0,2020-10-05 15:02:35
21285000.0,22.06,3697079.0,2020-10-05 15:02:41
21286016.0,22.06,3696876.0,2020-10-05 15:02:53
21284638.0,22.06,3696697.0,2020-10-05 15:02:59
21284678.0,22.06,3697156.0,2020-10-05 15:03:05
21286951.0,22.06,3696690.0,2020-10-05 15:03:11
21287845.0,22.06,3696841.0,2020-10-05 15:03:23
21284960.0,22.06,3696750.0,2020-10-05 15:03:35
21287378.0,22.06,3697093.0,2020-10-05 15:03:41
21287620.0,22.06,3696606.0,2020-10-05 15:03:47
21285105.0,22.06,3697202.0,2020-10-05 15:03:54
21285145.0,22.06,3697086.0,2020-10-05 15:03:59
21287579.0,22.12,3697163.0,2020-10-05 15:04:06
21287620.0,22.12,3696911.0,2020-10-05 15:04:11
21285145.0,22.06,3697223.0,2020-10-05 15:04:18
21284557.0,22.12,3696757.0,2020-10-05 15:04:42
21287765.0,22.06,3696764.0,2020-10-05 15:04:48
21284799.0,22.12,3696697.0,2020-10-05 15:04:54
21286991.0,22.12,3696732.0,2020-10-05 15:05:00
21287257.0,22.12,3697114.0,2020-10-05 15:05:06
21284758.0,22.12,3697216.0,2020-10-05 15:05:11
21284613.0,22.12,3696739.0,2020-10-05 15:05:23
21287765.0,22.12,3697156.0,2020-10-05 15:05:30
21288353.0,22.06,3697265.0,2020-10-05 15:05:35
21288152.0,22.06,3697230.0,2020-10-05 15:05:42
21288007.0,22.06,3697272.0,2020-10-05 15:05:48
21287966.0,22.12,3697079.0,2020-10-05 15:05:54
21285266.0,22.06,3696792.0,2020-10-05 15:06:00
21285226.0,22.12,3696757.0,2020-10-05 15:06:06
21288619.0,22.12,3696827.0,2020-10-05 15:06:12
21287805.0,22.06,3697209.0,2020-10-05 15:06:30
21284879.0,22.06,3696704.0,2020-10-05 15:06:48
21285065.0,22.06,3696785.0,2020-10-05 15:06:54
21284960.0,22.12,3697177.0,2020-10-05 15:07:06
21287579.0,22.06,3696792.0,2020-10-05 15:07:18
21285427.0,22.06,3696799.0,2020-10-05 15:07:30
21284799.0,22.12,3696704.0,2020-10-05 15:07:36
21285040.0,22.12,3696834.0,2020-10-05 15:07:48
21287765.0,22.12,3696718.0,2020-10-05 15:07:54
21284452.0,22.12,3696662.0,2020-10-05 15:08:12
21284452.0,22.12,3696746.0,2020-10-05 15:08:18
21285081.0,22.12,3696799.0,2020-10-05 15:08:24
21287700.0,22.12,3696771.0,2020-10-05 15:08:30
21285694.0,22.12,3696827.0,2020-10-05 15:08:36
21285025.0,22.06,3697205.0,2020-10-05 15:08:42
21284799.0,22.06,3696711.0,2020-10-05 15:08:48
21284960.0,22.06,3696746.0,2020-10-05 15:09:00
21285694.0,22.06,3696834.0,2020-10-05 15:09:12
21285266.0,22.06,3696869.0,2020-10-05 15:09:18
21285000.0,22.06,3697170.0,2020-10-05 15:09:24
21286991.0,22.06,3697128.0,2020-10-05 15:09:36
21287684.0,22.06,3697293.0,2020-10-05 15:09:43
810931658.0,22.06,3697202.0,2020-10-05 15:36:50
810929506.0,22.06,3697177.0,2020-10-05 15:36:56
810931658.0,22.06,3697258.0,2020-10-05 15:37:02
