Moisture,Soil_temp,EC,time
21007502.0,21.75,3697675.0,2020-10-28 12:47:07
21013755.0,21.75,3697738.0,2020-10-28 12:47:25
21012381.0,21.75,3698120.0,2020-10-28 12:47:31
21014770.0,21.75,3697724.0,2020-10-28 12:47:37
21007979.0,21.75,3697601.0,2020-10-28 12:47:43
21008836.0,21.75,3698155.0,2020-10-28 12:47:49
21010240.0,21.81,3698099.0,2020-10-28 12:47:55
21003718.0,21.75,3697829.0,2020-10-28 12:48:01
21013675.0,21.81,3697668.0,2020-10-28 12:48:07
21007312.0,21.75,3698085.0,2020-10-28 12:48:13
21009851.0,21.75,3697773.0,2020-10-28 12:48:19
21005511.0,21.68,3698141.0,2020-10-28 12:48:25
21005859.0,21.68,3697871.0,2020-10-28 12:48:31
21004226.0,21.68,3697689.0,2020-10-28 12:48:37
21008597.0,21.62,3697654.0,2020-10-28 12:48:49
21002821.0,21.62,3697927.0,2020-10-28 12:49:01
21004733.0,21.62,3697710.0,2020-10-28 12:49:07
21002393.0,21.62,3698148.0,2020-10-28 12:49:19
21013865.0,21.62,3697759.0,2020-10-28 12:49:25
21003678.0,21.62,3697629.0,2020-10-28 12:49:31
21011375.0,21.62,3698183.0,2020-10-28 12:49:37
21013476.0,21.62,3698176.0,2020-10-28 12:49:43
21010160.0,21.62,3697731.0,2020-10-28 12:49:49
21013207.0,21.62,3698120.0,2020-10-28 12:49:55
21015667.0,21.62,3698155.0,2020-10-28 12:50:01
21006725.0,21.68,3698064.0,2020-10-28 12:50:06
21014532.0,21.75,3698141.0,2020-10-28 12:50:13
21013874.0,21.75,3697689.0,2020-10-28 12:50:19
21004575.0,21.68,3697801.0,2020-10-28 12:50:25
21001806.0,21.75,3697668.0,2020-10-28 12:50:30
21004257.0,21.68,3697787.0,2020-10-28 12:50:37
21010858.0,21.75,3697654.0,2020-10-28 12:50:42
21010478.0,21.75,3697731.0,2020-10-28 12:50:49
21015388.0,21.75,3697920.0,2020-10-28 12:50:54
21008169.0,21.68,3698281.0,2020-10-28 12:51:01
21004416.0,21.75,3697629.0,2020-10-28 12:51:07
21016682.0,21.75,3698148.0,2020-10-28 12:51:13
21005550.0,21.75,3698225.0,2020-10-28 12:51:19
21011066.0,21.75,3697710.0,2020-10-28 12:51:25
20997426.0,21.75,3697135.0,2020-10-28 12:51:31
21009335.0,21.81,3697745.0,2020-10-28 12:51:37
21015905.0,21.75,3697675.0,2020-10-28 12:51:43
21003241.0,21.75,3698127.0,2020-10-28 12:51:49
21016373.0,21.75,3698253.0,2020-10-28 12:51:55
21014770.0,21.75,3698032.0,2020-10-28 12:52:01
21011723.0,21.68,3697885.0,2020-10-28 12:52:07
21013247.0,21.68,3697717.0,2020-10-28 12:52:13
21013525.0,21.68,3698081.0,2020-10-28 12:52:19
21008169.0,21.68,3698148.0,2020-10-28 12:52:25
21014452.0,21.68,3698155.0,2020-10-28 12:52:31
21009772.0,21.68,3697822.0,2020-10-28 12:52:37
21013476.0,21.75,3698113.0,2020-10-28 12:52:43
21010977.0,21.68,3698316.0,2020-10-28 12:52:49
21007851.0,21.68,3697787.0,2020-10-28 12:52:55
21013715.0,21.75,3698004.0,2020-10-28 12:53:01
21015000.0,21.75,3697738.0,2020-10-28 12:53:07
21013984.0,21.75,3698274.0,2020-10-28 12:53:13
21013755.0,21.81,3697801.0,2020-10-28 12:53:19
21010200.0,21.81,3698032.0,2020-10-28 12:53:31
21005701.0,21.81,3698246.0,2020-10-28 12:53:37
21014302.0,21.81,3698274.0,2020-10-28 12:53:43
21013247.0,21.81,3698218.0,2020-10-28 12:53:49
21003369.0,21.81,3697766.0,2020-10-28 12:53:55
21010160.0,21.81,3698134.0,2020-10-28 12:54:01
21006248.0,21.81,3697710.0,2020-10-28 12:54:07
21017000.0,21.81,3697801.0,2020-10-28 12:54:13
21013485.0,21.81,3697899.0,2020-10-28 12:54:19
21012072.0,21.81,3697808.0,2020-10-28 12:54:25
21005003.0,21.81,3698039.0,2020-10-28 12:54:31
21000631.0,21.75,3697636.0,2020-10-28 12:54:37
21012660.0,21.75,3697696.0,2020-10-28 12:54:43
21002225.0,21.75,3697738.0,2020-10-28 12:54:49
21005979.0,21.75,3698162.0,2020-10-28 12:54:55
21007312.0,21.75,3698032.0,2020-10-28 12:55:01
21004265.0,21.75,3697850.0,2020-10-28 12:55:07
21009811.0,21.75,3698246.0,2020-10-28 12:55:13
21005979.0,21.75,3697647.0,2020-10-28 12:55:19
21004305.0,21.75,3697815.0,2020-10-28 12:55:25
21008677.0,21.75,3698211.0,2020-10-28 12:55:31
21014810.0,21.75,3698197.0,2020-10-28 12:55:37
21005820.0,21.75,3698032.0,2020-10-28 12:55:43
21002194.0,21.75,3697717.0,2020-10-28 12:55:49
21005829.0,21.75,3697647.0,2020-10-28 12:55:55
21017080.0,21.75,3698253.0,2020-10-28 12:56:01
21010001.0,21.81,3698218.0,2020-10-28 12:56:07
21003749.0,21.81,3697738.0,2020-10-28 12:56:13
21010439.0,21.81,3698218.0,2020-10-28 12:56:25
21012311.0,21.81,3697622.0,2020-10-28 12:56:31
21013128.0,21.75,3698155.0,2020-10-28 12:56:37
21014620.0,21.75,3697675.0,2020-10-28 12:56:44
21017230.0,21.75,3698487.0,2020-10-28 12:56:49
21015627.0,21.75,3698141.0,2020-10-28 12:56:55
21012699.0,21.75,3698162.0,2020-10-28 12:57:01
21011096.0,21.75,3697682.0,2020-10-28 12:57:07
21011366.0,21.75,3697696.0,2020-10-28 12:57:13
21008487.0,21.75,3697745.0,2020-10-28 12:57:19
21007153.0,21.75,3697710.0,2020-10-28 12:57:31
21012002.0,21.75,3697731.0,2020-10-28 12:57:37
21012302.0,21.68,3698078.0,2020-10-28 12:57:43
21008328.0,21.68,3697787.0,2020-10-28 12:57:49
21002614.0,21.75,3697983.0,2020-10-28 12:57:55
21000782.0,21.68,3697724.0,2020-10-28 12:58:08
21009692.0,21.68,3698183.0,2020-10-28 12:58:13
21003519.0,21.68,3698004.0,2020-10-28 12:58:20
21002980.0,21.68,3697773.0,2020-10-28 12:58:26
21006566.0,21.68,3698253.0,2020-10-28 12:58:38
21008518.0,21.68,3697773.0,2020-10-28 12:58:44
21000282.0,21.68,3697608.0,2020-10-28 12:59:19
21004972.0,21.68,3698141.0,2020-10-28 12:59:25
21013834.0,21.75,3698183.0,2020-10-28 12:59:31
21007193.0,21.75,3697787.0,2020-10-28 12:59:37
21005511.0,21.68,3697717.0,2020-10-28 12:59:43
21009224.0,21.68,3697689.0,2020-10-28 12:59:49
21002067.0,21.68,3697997.0,2020-10-28 12:59:55
21001099.0,21.68,3697703.0,2020-10-28 13:00:02
21005630.0,21.68,3697633.0,2020-10-28 13:00:07
21015119.0,21.68,3698141.0,2020-10-28 13:00:14
21011843.0,21.75,3698113.0,2020-10-28 13:00:19
21007930.0,21.75,3697717.0,2020-10-28 13:00:26
21010739.0,21.75,3697808.0,2020-10-28 13:00:31
21009335.0,21.75,3698099.0,2020-10-28 13:00:38
21006217.0,21.75,3698067.0,2020-10-28 13:00:43
21016413.0,21.75,3697808.0,2020-10-28 13:00:50
21012191.0,21.75,3697822.0,2020-10-28 13:00:56
21012381.0,21.75,3697647.0,2020-10-28 13:01:02
21015706.0,21.68,3697829.0,2020-10-28 13:01:07
21005431.0,21.75,3697787.0,2020-10-28 13:01:14
21005550.0,21.75,3697689.0,2020-10-28 13:01:19
21004884.0,21.75,3697815.0,2020-10-28 13:01:26
21002901.0,21.75,3697717.0,2020-10-28 13:01:38
21014073.0,21.75,3697766.0,2020-10-28 13:01:44
21010858.0,21.75,3697703.0,2020-10-28 13:01:50
21009374.0,21.68,3697682.0,2020-10-28 13:02:09
21004733.0,21.75,3698337.0,2020-10-28 13:02:14
21016135.0,21.68,3698225.0,2020-10-28 13:02:33
21014452.0,21.68,3698183.0,2020-10-28 13:02:38
21005829.0,21.68,3698183.0,2020-10-28 13:02:45
21006685.0,21.68,3697752.0,2020-10-28 13:02:50
21013317.0,21.68,3697636.0,2020-10-28 13:02:57
21001757.0,21.68,3698260.0,2020-10-28 13:03:02
21013914.0,21.68,3698113.0,2020-10-28 13:03:09
21013287.0,21.68,3698046.0,2020-10-28 13:03:14
21007272.0,21.68,3697629.0,2020-10-28 13:03:21
21005162.0,21.68,3697787.0,2020-10-28 13:03:26
21009772.0,21.68,3698148.0,2020-10-28 13:03:33
21006407.0,21.68,3697745.0,2020-10-28 13:03:38
21006685.0,21.68,3698295.0,2020-10-28 13:03:45
21007780.0,21.68,3697682.0,2020-10-28 13:03:51
21010549.0,21.68,3697682.0,2020-10-28 13:03:57
21008169.0,21.75,3697682.0,2020-10-28 13:04:09
21009692.0,21.75,3698085.0,2020-10-28 13:04:15
21013556.0,21.68,3697738.0,2020-10-28 13:04:21
21011723.0,21.75,3697629.0,2020-10-28 13:04:27
21008319.0,21.68,3697629.0,2020-10-28 13:04:33
21006994.0,21.75,3698176.0,2020-10-28 13:04:39
21011644.0,21.68,3698225.0,2020-10-28 13:04:45
21008796.0,21.75,3698060.0,2020-10-28 13:04:51
21014571.0,21.75,3697682.0,2020-10-28 13:04:57
