Moisture,Soil_temp,Air_Hum,Air_temp,EC,time
21444978.0,20.18,0,0,20381229.0,2020-10-13 16:40:05
21442561.0,20.31,0,0,20380214.0,2020-10-14 09:22:48
21420624.0,19.68,0,0,20368888.0,2020-10-14 09:30:57
21418187.0,20.75,0,0,20365764.0,2020-10-14 09:40:56
21419729.0,20.56,0,0,20366657.0,2020-10-14 09:50:56
21419467.0,20.43,0,0,20366780.0,2020-10-14 10:10:59
21419954.0,20.43,0,0,20367172.0,2020-10-14 10:21:00
21420299.0,20.43,0,0,20367403.0,2020-10-14 10:31:02
21419081.0,20.43,0,0,20365995.0,2020-10-14 10:51:07
21420035.0,20.37,0,0,20366657.0,2020-10-14 11:01:08
21416583.0,20.62,0,0,20365025.0,2020-10-14 11:21:11
21417069.0,20.62,0,0,20363687.0,2020-10-14 11:31:13
21415648.0,20.68,0,0,20363141.0,2020-10-14 11:41:15
21415383.0,20.68,0,0,20362801.0,2020-10-14 11:51:16
21415302.0,20.62,0,0,20362132.0,2020-10-14 12:01:17
21414916.0,20.68,0,0,20362948.0,2020-10-14 12:11:20
21414633.0,20.68,0,0,20362602.0,2020-10-14 12:21:21
21414938.0,20.62,0,0,20362248.0,2020-10-14 12:31:22
21414084.0,20.62,0,0,20362094.0,2020-10-14 12:41:24
21409249.0,19.93,0,0,20359625.0,2020-10-14 12:49:04
21407847.0,20.93,0,0,20358340.0,2020-10-14 12:59:04
21407380.0,20.81,0,0,20357601.0,2020-10-14 13:09:05
21407564.0,20.75,0,0,20357639.0,2020-10-14 13:19:07
21407137.0,20.75,0,0,20357755.0,2020-10-14 13:29:08
21408458.0,20.68,0,0,20358616.0,2020-10-14 13:39:10
21407299.0,20.68,0,0,20358340.0,2020-10-14 13:49:12
21407645.0,20.68,0,0,20358263.0,2020-10-14 13:59:14
21408763.0,20.68,0,0,20359670.0,2020-10-14 14:09:16
21408315.0,20.81,0,0,20358186.0,2020-10-14 14:19:17
21408742.0,20.75,0,0,20358932.0,2020-10-14 14:29:19
21408661.0,20.68,0,0,20359278.0,2020-10-14 14:39:21
