Moisture,Soil_temp,EC,time
20976257.0,21.25,3697647.0,2020-10-28 10:52:00
20973250.0,21.31,3697468.0,2020-10-28 10:52:06
20964070.0,21.43,3697906.0,2020-10-28 10:53:18
20967077.0,21.5,3698092.0,2020-10-28 10:53:25
20973948.0,21.5,3697703.0,2020-10-28 10:53:58
20972305.0,21.56,3697503.0,2020-10-28 10:54:04
20962078.0,21.56,3697615.0,2020-10-28 10:54:37
20974614.0,21.56,3698155.0,2020-10-28 10:54:43
20972385.0,21.56,3697941.0,2020-10-28 10:55:16
20976487.0,21.56,3698064.0,2020-10-28 10:55:22
20976566.0,21.56,3698134.0,2020-10-28 10:55:55
20963792.0,21.56,3698113.0,2020-10-28 10:56:02
20970592.0,21.56,3697906.0,2020-10-28 10:56:34
20960000.0,21.37,3697920.0,2020-10-28 10:56:41
20961142.0,21.31,3698060.0,2020-10-28 10:57:13
20967196.0,21.31,3697559.0,2020-10-28 10:57:20
20971060.0,21.37,3697633.0,2020-10-28 10:57:53
20969417.0,21.43,3697661.0,2020-10-28 10:57:59
20974027.0,21.43,3697622.0,2020-10-28 10:58:32
20963871.0,21.5,3697566.0,2020-10-28 10:58:38
20976717.0,21.5,3698155.0,2020-10-28 10:59:11
20961610.0,21.56,3697412.0,2020-10-28 10:59:50
20970782.0,21.56,3698134.0,2020-10-28 10:59:57
20963165.0,21.56,3697920.0,2020-10-28 11:00:36
20969576.0,21.56,3698113.0,2020-10-28 11:01:09
20974844.0,21.56,3698046.0,2020-10-28 11:01:15
20964102.0,21.56,3697689.0,2020-10-28 11:01:48
20961412.0,21.56,3697878.0,2020-10-28 11:01:54
20974654.0,21.56,3697615.0,2020-10-28 11:02:34
20961412.0,21.56,3698162.0,2020-10-28 11:03:06
20969854.0,21.56,3698211.0,2020-10-28 11:03:13
20965712.0,21.56,3698046.0,2020-10-28 11:03:46
810939346.0,21.5,3697608.0,2020-10-28 11:11:47
810939584.0,21.5,3698183.0,2020-10-28 11:11:53
810939425.0,21.5,3698113.0,2020-10-28 11:11:59
810941218.0,21.5,3698218.0,2020-10-28 11:12:05
810939584.0,21.5,3697580.0,2020-10-28 11:12:11
810935521.0,21.5,3697661.0,2020-10-28 11:12:17
810938640.0,21.5,3697724.0,2020-10-28 11:12:23
810938140.0,21.5,3697745.0,2020-10-28 11:12:29
810940322.0,21.5,3698085.0,2020-10-28 11:12:35
810932276.0,21.5,3697738.0,2020-10-28 11:12:41
810930983.0,21.5,3698106.0,2020-10-28 11:12:47
810942361.0,21.5,3698162.0,2020-10-28 11:12:53
810940798.0,21.5,3697822.0,2020-10-28 11:12:59
810941377.0,21.5,3698211.0,2020-10-28 11:13:05
810879007.0,21.5,3698211.0,2020-10-28 11:13:11
810938172.0,21.5,3697636.0,2020-10-28 11:13:17
810929777.0,21.5,3697682.0,2020-10-28 11:13:23
810927627.0,21.5,3697689.0,2020-10-28 11:13:29
810939116.0,21.5,3697654.0,2020-10-28 11:13:35
810941813.0,21.5,3698169.0,2020-10-28 11:13:41
810878182.0,21.56,3698141.0,2020-10-28 11:13:47
810935014.0,21.5,3697717.0,2020-10-28 11:13:53
810941298.0,21.5,3697717.0,2020-10-28 11:13:59
810934458.0,21.5,3698085.0,2020-10-28 11:14:05
810938727.0,21.5,3697717.0,2020-10-28 11:14:11
20959769.0,21.5,3698134.0,2020-10-28 11:14:29
20969616.0,21.5,3697454.0,2020-10-28 11:14:35
20966529.0,21.5,3697573.0,2020-10-28 11:14:41
20960079.0,21.5,3698141.0,2020-10-28 11:14:47
20968751.0,21.5,3697654.0,2020-10-28 11:14:53
20970433.0,21.43,3698085.0,2020-10-28 11:14:59
20966847.0,21.5,3698099.0,2020-10-28 11:15:05
20972075.0,21.5,3697594.0,2020-10-28 11:15:17
20967894.0,21.5,3698099.0,2020-10-28 11:15:23
20964776.0,21.5,3698039.0,2020-10-28 11:15:29
20963173.0,21.5,3697636.0,2020-10-28 11:15:35
20974186.0,21.5,3698106.0,2020-10-28 11:15:41
20966410.0,21.5,3698046.0,2020-10-28 11:15:47
20968243.0,21.5,3697682.0,2020-10-28 11:15:53
20968870.0,21.5,3697689.0,2020-10-28 11:15:59
20973670.0,21.5,3698004.0,2020-10-28 11:16:11
20971179.0,21.5,3698176.0,2020-10-28 11:16:17
20963094.0,21.5,3697843.0,2020-10-28 11:16:23
20971726.0,21.5,3698078.0,2020-10-28 11:16:29
20969267.0,21.5,3697745.0,2020-10-28 11:16:35
20959190.0,21.5,3698134.0,2020-10-28 11:16:41
20970742.0,21.5,3698060.0,2020-10-28 11:16:47
20961372.0,21.5,3698099.0,2020-10-28 11:16:53
20967156.0,21.5,3697661.0,2020-10-28 11:16:59
20972266.0,21.5,3698053.0,2020-10-28 11:17:06
20970005.0,21.5,3698176.0,2020-10-28 11:17:11
20961451.0,21.5,3697654.0,2020-10-28 11:17:17
20957785.0,21.5,3697710.0,2020-10-28 11:17:29
20961880.0,21.5,3697752.0,2020-10-28 11:17:35
20969219.0,21.43,3698148.0,2020-10-28 11:17:53
20966918.0,21.43,3697608.0,2020-10-28 11:17:59
20973718.0,21.43,3697079.0,2020-10-28 11:18:05
20972432.0,21.43,3698134.0,2020-10-28 11:18:11
20967426.0,21.43,3697976.0,2020-10-28 11:18:23
20967815.0,21.43,3697731.0,2020-10-28 11:18:29
20961602.0,21.43,3697731.0,2020-10-28 11:18:41
20961332.0,21.43,3698155.0,2020-10-28 11:18:47
20967934.0,21.43,3697682.0,2020-10-28 11:18:53
20960674.0,21.43,3698155.0,2020-10-28 11:18:59
20968013.0,21.43,3698113.0,2020-10-28 11:19:05
20970552.0,21.43,3698190.0,2020-10-28 11:19:11
20965784.0,21.5,3697654.0,2020-10-28 11:19:17
20967394.0,21.5,3697906.0,2020-10-28 11:19:23
20964268.0,21.5,3698053.0,2020-10-28 11:19:29
20968711.0,21.43,3697580.0,2020-10-28 11:19:35
20973440.0,21.43,3698176.0,2020-10-28 11:19:42
20967775.0,21.43,3698155.0,2020-10-28 11:19:47
20973210.0,21.43,3698113.0,2020-10-28 11:19:54
20960785.0,21.43,3697906.0,2020-10-28 11:20:06
